# Description
# The file describes the Fiorano circuit starting from Google Earth kml files.
# Distance (widths) from reference line of left/right borders
#  both with and witout kerbs are included.
# Generation date:       12-Jun-2023
# Names of source data files:
# - Monza_circuit_no_cordoli.kml
# - Monza_circuit_no_cordoli.kml
# Finish line origin local coordinates (ENU)
#! x0     =   0.00000000
#! y0     =   0.00000000
#! z0     =   0.04214080
#! theta0 =   1.47860909
# Finish line origin geodesic coordinates
#! FinishLineLatitude  =        45.61897378121358
#! FinishLineLongitude =        9.281181522560816
#! FinishLineAltitude  =        183.1489506034142
# Simulator to Real circuit alignement parameters
#! sim_to_real_translation_x =          NaN
#! sim_to_real_translation_y =          NaN
#! sim_to_real_rotation_z     =          NaN
abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
26.00346887628976944	0.00015054116792243650222	1.4676271815283066235	2.7660266496902150557	25.855778279599228142	-0.09064619035	-0.00432494264675	-0.0196187571785	0.00019248158193	5.37984894896e-05	5.8466192	5.7652269	5.8634281	5.7412436	5.8634281	5.7412436
30.004002583757383604	9.5672474371926574796e-05	1.4681221931943213566	3.1769704777676128771	29.835149434307552951	-0.1074979922	-0.00410090072439	-0.0189397281149	0.000148253617468	5.33749976366e-05	5.8349515	5.7663313	5.862283	5.7339416	5.862283	5.7339416
34.004536291280551552	5.6914518854559798455e-05	1.4684258572408117605	3.5863438371102711599	33.814682481557149174	-0.123465846	-0.00388302645115	-0.0184342148696	0.000105306429638	5.26112772383e-05	5.8234852	5.7692355	5.8595606	5.7285024	5.8595606	5.7285024
38.005069998660687247	3.3912115475823656138e-05	1.4686068296053111926	3.9947743361630201342	37.794312417550507632	-0.1385744256	-0.00367131982701	-0.0180974096977	6.36377419493e-05	5.15116466639e-05	5.8128326	5.773309	5.8558796	5.7242916	5.8558796	5.7242916
42.005603705991013896	2.2710608798451383672e-05	1.4687193859060578838	4.4026364207335788592	41.774000652389013055	-0.1528484049	-0.00346578085199	-0.0179245048545	2.3221685246e-05	5.01828205726e-05	5.8033506	5.7781459	5.8515546	5.722126	5.8515546	5.722126
46.006137413300344008	2.0412914251427138353e-05	1.4688053696554541627	4.8101155376433180066	45.753728118276377757	-0.1663124577	-0.00326640952608	-0.017910692595	-1.59579995471e-05	4.86847903616e-05	5.7952055	5.783502	5.8484275	5.7354419	5.8484275	5.7354419
50.006671120607748549	2.5247818067164442461e-05	1.4688967167777566836	5.2172514431573482341	49.733490710015608727	-0.1789912579	-0.00307320584929	-0.0180511651747	-5.3912463802e-05	4.70524325277e-05	5.7884169	5.7892502	5.8460229	5.748071	5.8460229	5.748071
54.007204827925441748	3.6937627450385799406e-05	1.4690211497264547003	5.6239670856189309944	53.713296271706163054	-0.1909094795	-0.0028861698216	-0.0183411148486	-9.06470001957e-05	4.52880186859e-05	5.7828865	5.7953545	5.8431802	5.7612045	5.8431802	5.7612045
58.007738535263406732	5.6018421468686446579e-05	1.4692066021929941488	6.0300755358998205935	57.693163835352265778	-0.2020917962	-0.00270530144303	-0.0187757338719	-0.000126164556815	4.3375782255e-05	5.7784058	5.8018681	5.8397163	5.774968	5.8397163	5.774968
62.008272242608100555	8.2342105047865106048e-05	1.4694812183611125622	6.4352769793417081701	61.673123839300536986	-0.212562882	-0.00253060071358	-0.0193502145	-0.000160470469818	4.13125342755e-05	5.7746521	5.8089431	5.8353415	5.7896615	5.8353415	5.7896615
